Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,antisymmetric property,attached_to,database_cross_reference,definition,depicts,has_obo_format_version,has_related_synonym,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#default-relationship-id-prefix,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#namespace-id-rule,http://www.geneontology.org/formats/oboInOwl#remark,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,integral_part_of,part_of
http://purl.obolibrary.org/obo/HAO_0001019,tooth,,The projection that is located distally on the mandible.,false,,,http://purl.obolibrary.org/obo/HAO_0000829,,,,The projection that is located distally on the mandible.,,,mandibular tooth|mandibular teeth,http://purl.obolibrary.org/obo/HAO_0000506,,http://purl.obolibrary.org/obo/HAO_0000506,,,,,HAO:0001019,,,,tooth,,HAO:0001019,,
http://purl.obolibrary.org/obo/HAO_0001379,medial profemoro-protibial muscle,,The intrinsic leg muscle that arises medially from the profemur and inserts on the genuflexor plate of the fore leg.,false,,,http://purl.obolibrary.org/obo/HAO_0001466,,http://purl.obolibrary.org/obo/HAO_0000350|http://purl.obolibrary.org/obo/HAO_0001124,,The intrinsic leg muscle that arises medially from the profemur and inserts on the genuflexor plate of the fore leg.,,,muscle 65|flexor of the fore tibia,,,,,,,,HAO:0001379,,,,medial profemoro-protibial muscle,,HAO:0001379,,
http://purl.obolibrary.org/obo/HAO_0000915,scutellar disc,,"The area that is median, convex and is delimited anteriorly by the scutoscutellar sulcus and laterally by the axillar depression.",false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,"The area that is median, convex and is delimited anteriorly by the scutoscutellar sulcus and laterally by the axillar depression.",,,disc of mesoscutellum|mesoscutellar disc,,,,,,,,HAO:0000915,,,,scutellar disc,,HAO:0000915,,
http://purl.obolibrary.org/obo/HAO_0001850,frontofacial sulcus,,"The sulcus that is transverse, located on the upper face and medially joining or intersecting the scrobal sulcus and interantennal area.",false,,,http://purl.obolibrary.org/obo/HAO_0000978,,,,"The sulcus that is transverse, located on the upper face and medially joining or intersecting the scrobal sulcus and interantennal area.",,,frontal suture|frontal fork,http://purl.obolibrary.org/obo/HAO_0001044,,http://purl.obolibrary.org/obo/HAO_0001044,,,,,HAO:0001850,,,,frontofacial sulcus,,HAO:0001850,,
http://purl.obolibrary.org/obo/HAO_0001861,laterotergite,,The area that is located laterally on the tergum and is delimited by a longitudinal edge.,false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,The area that is located laterally on the tergum and is delimited by a longitudinal edge.,,,,http://purl.obolibrary.org/obo/HAO_0001006,,http://purl.obolibrary.org/obo/HAO_0001006,,,,,HAO:0001861,,,,laterotergite,,HAO:0001861,,
http://purl.obolibrary.org/obo/HAO_0001077,vertex,,"The area that is delimited by the intersection of the margin of the compound eyes, the interorbital plane, and the anatomical line that is tangential to the point on the margin of the anterior ocellus which defines the minimum distance between the anterior ocellus and the oral foramen.",false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,"The area that is delimited by the intersection of the margin of the compound eyes, the interorbital plane, and the anatomical line that is tangential to the point on the margin of the anterior ocellus which defines the minimum distance between the anterior ocellus and the oral foramen.",,,,http://purl.obolibrary.org/obo/HAO_0000397,,http://purl.obolibrary.org/obo/HAO_0000397,,,,,HAO:0001077,,,,vertex,,HAO:0001077,,
http://purl.obolibrary.org/obo/HAO_0001088,Waterston's evaporatorium,,The evaporatorium that is located medially on the acrotergite of abdominal tergite 7.,false,,,http://purl.obolibrary.org/obo/HAO_0000310,,,,The evaporatorium that is located medially on the acrotergite of abdominal tergite 7.,,,Waterston's organ,http://purl.obolibrary.org/obo/HAO_0000626,,http://purl.obolibrary.org/obo/HAO_0000626,,,,,HAO:0001088,,,,Waterston's evaporatorium,,HAO:0001088,,
http://purl.obolibrary.org/obo/HAO_0001099,head muscle,,The muscle that is located in the head.,false,,,http://purl.obolibrary.org/obo/HAO_0001922,,,,The muscle that is located in the head.,,,,http://purl.obolibrary.org/obo/HAO_0000397,,http://purl.obolibrary.org/obo/HAO_0000397,,,,,HAO:0001099,,,,head muscle,,HAO:0001099,,
http://purl.obolibrary.org/obo/HAO_0001501,anterior coxal fossa of the metatrochanter,,The fossa that is located anteriorly on the metatrochanter and accommodates the anterior trochanteral condyle of the metacoxa.,false,,,http://purl.obolibrary.org/obo/HAO_0000353,,,,The fossa that is located anteriorly on the metatrochanter and accommodates the anterior trochanteral condyle of the metacoxa.,,,,http://purl.obolibrary.org/obo/HAO_0000399,,http://purl.obolibrary.org/obo/HAO_0000399,,,,,HAO:0001501,,,,anterior coxal fossa of the metatrochanter,,HAO:0001501,,
http://purl.obolibrary.org/obo/HAO_0001512,femoral articular process of the metatrochanter,,The articular process that is located laterally on the distal margin of the metatrochanter and bears the femoral condyle of the metatrochanter.,false,,,http://purl.obolibrary.org/obo/HAO_0000150,,,,The articular process that is located laterally on the distal margin of the metatrochanter and bears the femoral condyle of the metatrochanter.,,,,http://purl.obolibrary.org/obo/HAO_0001139,,http://purl.obolibrary.org/obo/HAO_0001139,,,,,HAO:0001512,,,,femoral articular process of the metatrochanter,,HAO:0001512,,
http://purl.obolibrary.org/obo/HAO_0000387,gonostipital arm,,The apodeme that is located proximally on the ventral part of the gonostipes.,false,,,http://purl.obolibrary.org/obo/HAO_0000142,,,,The apodeme that is located proximally on the ventral part of the gonostipes.,,,,http://purl.obolibrary.org/obo/HAO_0000386,,http://purl.obolibrary.org/obo/HAO_0000386,,,,,HAO:0000387,,,,gonostipital arm,,HAO:0000387,,
http://purl.obolibrary.org/obo/HAO_0002168,anterior angle of the first valvifer,,The corner on the first valvifer that marks the posterior end of the first valvula.,false,,,,,,,The corner on the first valvifer that marks the posterior end of the first valvula.,,,anterior angle,http://purl.obolibrary.org/obo/HAO_0000338,,http://purl.obolibrary.org/obo/HAO_0000338,,,,,HAO:0002168,,,,anterior angle of the first valvifer,,HAO:0002168,,
http://purl.obolibrary.org/obo/HAO_0000329,first abdominal spiracle,,The abdominal spiracle that is the anteriormost in the body.,false,,,http://purl.obolibrary.org/obo/HAO_0001424,,,,The abdominal spiracle that is the anteriormost in the body.,,,propodeal spiracle,http://purl.obolibrary.org/obo/HAO_0000017,,http://purl.obolibrary.org/obo/HAO_0000017,,,,,HAO:0000329,,,,first abdominal spiracle,,HAO:0000329,,
http://purl.obolibrary.org/obo/HAO_0001053,velum,,The area that is lamella-like and is located on the calcar.,false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,The area that is lamella-like and is located on the calcar.,,,,http://purl.obolibrary.org/obo/HAO_0000875,,http://purl.obolibrary.org/obo/HAO_0000875,,,,,HAO:0001053,,,,velum,,HAO:0001053,,
