Term	Concept	URI	Preferred Term
antenna	The appendage that is composed of ringlike sclerites and the anatomical structures encircled by these sclerites and that is articulated with the cranium.	http://purl.obolibrary.org/obo/HAO_0000101	antenna
antennal scrobe	The scrobe that is located dorsally of the antennal foramen and is for the reception of the antenna.	http://purl.obolibrary.org/obo/HAO_0001432	antennal scrobe
antennomere	The anatomical structure that is delimited by the proximal and distal margins of the antennal sclerite.	http://purl.obolibrary.org/obo/HAO_0000107	antennomere
anterior propodeal projection	The projection that is located submedially on the anterior margin of the propodeum.	http://purl.obolibrary.org/obo/HAO_0001968	anterior propodeal projection
basal vein	The wing vein that is basally located on the fore wing and connects or nearly connects the submarginal vein and the medial plus cubital veins.	http://purl.obolibrary.org/obo/HAO_0000170	basal vein
clava	The anatomical cluster that is composed of apical flagellomeres bearing multiporous plates in female organism.	http://purl.obolibrary.org/obo/HAO_0000203	clava
clavomere	The flagellomere that is located in the clava.	http://purl.obolibrary.org/obo/HAO_0001186	clavomere
clypeus	The area that corresponds to the site of origin of the clypeo-epipharyngeal muscle.	http://purl.obolibrary.org/obo/HAO_0000212	clypeus
condyle	The articular surface that is convex and is inserted into the fossa of an adjacent sclerite.	http://purl.obolibrary.org/obo/HAO_0000220	condyle
episternal foveae	The row of impressions that is located on the anteroventral edge of the mesopleuron and is correspond to the site of origin of the mesopleuro-mesobasalar muscle.	http://purl.obolibrary.org/obo/HAO_0001509	episternal foveae
facial striae	The anatomical cluster anterior to the malar sulcus that is composed of carinae radiating from the pleurostomal condyle.	http://purl.obolibrary.org/obo/HAO_0002376	facial striae
felt field	The setiferous patch that is located sublaterally on an abdominal sternum.	http://purl.obolibrary.org/obo/HAO_0000322	felt field
femoral depression	The scrobe that is located on the mesopleuron into which the mesofemur fits when pressed against the mesosoma.	http://purl.obolibrary.org/obo/HAO_0000326	mesofemoral depression
foramen	"The anatomical space that is surrounded by sclerites and allows for the passage of haemolymph, nerves and tracheae."	http://purl.obolibrary.org/obo/HAO_0000345	foramen
forewing	The wing that is located on the mesothorax.	http://purl.obolibrary.org/obo/HAO_0000351	fore wing
frons	The area that is between the epistomal line and the anterior ocellus and limited laterally by the inner margin of compound eye.	http://purl.obolibrary.org/obo/HAO_0001523	frons
frontal depression	The anatomical cluster that is composed of antennal scrobes.	http://purl.obolibrary.org/obo/HAO_0000911	frontal depression
gena	"The area that is delimited by the intersection of the interorbital plane, the margin of the compound eye, the margin of the oral foramen, the occipital carina and the malar sulcus."	http://purl.obolibrary.org/obo/HAO_0000371	gena
head	The tagma that is located anterior to the thorax.	http://purl.obolibrary.org/obo/HAO_0000397	head
hindwing	The wing that is located on the metathorax.	http://purl.obolibrary.org/obo/HAO_0000400	hind wing
horn of T1	"The area that is located anteriorly on mediotergum 1, is raised and contains the proximal part of the retracted ovipositor"	http://purl.obolibrary.org/obo/HAO_0002026	horn of T1
interantennal process	The area that is elevated and extends between the toruli.	http://purl.obolibrary.org/obo/HAO_0000422	interantennal process
lateral propodeal area	"The area that is located laterally on the propodeum, is delimited posteromedially by the lateral propodeal carina and is delimited laterally by the plica."	http://purl.obolibrary.org/obo/HAO_0000485	lateral propodeal area
malar striae	The anatomical cluster posterior to the malar sulcus that is composed of carinae radiating from the pleurostomal condyle.	http://purl.obolibrary.org/obo/HAO_0002373	malar striae
malar sulcus	The sulcus that extends between the ventral margin of the compound eye and the base of the mandible.	http://purl.obolibrary.org/obo/HAO_0000504	malar sulcus
mandible	The appendage that is encircled by one sclerite that is connected to the cranium proximolaterally and to the maxillo-labial complex proximomedially via conjunctivae and articulates with the cranium via the anterior and posterior cranio-mandibular articulations.	http://purl.obolibrary.org/obo/HAO_0000506	mandible
margin	The line that delimits the periphery of an area.	http://purl.obolibrary.org/obo/HAO_0000510	margin
mesepimeral sulcus	"The sulcus that extends along the posterior margin of the mesopectus, delimits the mesepimeral area and corresponds to the mesepimeral ridge."	http://purl.obolibrary.org/obo/HAO_0000538	mesepimeral sulcus
mesonotum	"The area that is limited anteriorly by the pronotum, laterally by the basalare, axillary sclerites, subalare and the mesopectus and posterolaterally by the mesopostnotum and the metanotum."	http://purl.obolibrary.org/obo/HAO_0000556	mesonotum
mesopleural carina	The carina that crosses the mesopleuron and limits ventrally the femoral depression.	http://purl.obolibrary.org/obo/HAO_0000559	mesopleural carina
mesopleural pit	The pleural pit that is located on the mesopleuron.	http://purl.obolibrary.org/obo/HAO_0000561	mesopleural pit
mesopleuron	The pleuron that is located in the mesothorax.	http://purl.obolibrary.org/obo/HAO_0001354	mesopleuron
mesoscutal suprahumeral sulcus	The sulcus that extends along the anterior margin of the mesoscutum between the anterior-most point of the preaxilla and the anteroadmedian line and corresponds to the vertical lobe of the mesoscutum.	http://purl.obolibrary.org/obo/HAO_0000570	mesoscutal suprahumeral sulcus
mesoscutellum	The scutellum that is located on the mesonotum.	http://purl.obolibrary.org/obo/HAO_0000574	mesoscutellum
mesoscutum	The scutum that is located on the mesonotum.	http://purl.obolibrary.org/obo/HAO_0000575	mesoscutum
mesosoma	"The anatomical cluster that is composed of the prothorax, mesothorax and the metapectal-propodeal complex."	http://purl.obolibrary.org/obo/HAO_0000576	mesosoma
metanotal trough	"The area that is concave, and is delimited medially by the metascutellum, laterally by the supraalar area and posteriorly by the metascutellar arm."	http://purl.obolibrary.org/obo/HAO_0000600	metanotal trough
metapleural sulcus	The line that corresponds with the metapleural ridge.	http://purl.obolibrary.org/obo/HAO_0000614	metapleural sulcus
metapleural triangle	"The area that is located anteroventrally on the metapectus, is delimited ventrally by the ventral carina of the metapleuron and is triangular."	http://purl.obolibrary.org/obo/HAO_0000615	metapleural triangle
metapleuron	The area of the metapectal-propodeal complex that is limited ventrally by the ventral carina of the metapleuron and dorsally by the metapleural carina.	http://purl.obolibrary.org/obo/HAO_0001869	metapleuron
metascutellum	"The area that is located posteromedially on the metanotum, is delimited laterally by the metanotal trough and corresponds to the reservoir of the dorsal vessel."	http://purl.obolibrary.org/obo/HAO_0000625	metascutellum
metasoma	The tagma that is connected anteriorly to the metapectal-propodeal complex at the propodeal foramen and consists of abdominal segments.	http://purl.obolibrary.org/obo/HAO_0000626	metasoma
metasomal depression	"The acetabulum that is concave, surrounds the nucha and accommodates the base of the metasoma."	http://purl.obolibrary.org/obo/HAO_0000627	metasomal depression
notaulus	The line that extends submedially along the mesoscutum and corresponds to the median border of the site of origin of the first mesopleuro-mesonotal muscle.	http://purl.obolibrary.org/obo/HAO_0000647	notaulus
occipital carina	The carina that surrounds dorsolaterally the occiput.	http://purl.obolibrary.org/obo/HAO_0000653	occipital carina
ovipositor	"The anatomical cluster that is composed of the first valvulae, second valvulae, third valvulae, first valvifers, second valvifers and female T9."	http://purl.obolibrary.org/obo/HAO_0000679	ovipositor
pleurostomal condyle	The condyle that is located on the anterior (dorsal) margin of the pleurostoma and inserts into the mandibular acetabulum.	http://purl.obolibrary.org/obo/HAO_0000731	pleurostomal condyle
postacetabular sulcus	The sulcus that extends posteriorly along the epicnemial carina.	http://purl.obolibrary.org/obo/HAO_0000741	postacetabular sulcus
posterior mesepimeral area	The area that extends along the posterior margin of the mesopleuron and is delimited anteriorly by the mesepimeral sulcus.	http://purl.obolibrary.org/obo/HAO_0000751	posterior mesepimeral area
